,Unnamed: 0,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
0,0,89528099999,2003-01-01,-82.7666666,28.5833333,2912.0,"AGO 3, AY",1.3,13,9999.9,0,9999.9,0,682.7,13,999.9,0,49.3,13,66.8,999.9,29.1,*,-17.1,*,0.0,I,999.9,0
1,1,89528099999,2003-01-02,-82.7666666,28.5833333,2912.0,"AGO 3, AY",-1.4,14,9999.9,0,9999.9,0,682.0,14,999.9,0,45.0,14,66.8,999.9,26.8,*,-13.4,*,0.0,I,999.9,0
2,2,89528099999,2003-01-03,-82.7666666,28.5833333,2912.0,"AGO 3, AY",1.7,12,9999.9,0,9999.9,0,684.6,12,999.9,0,49.5,12,83.9,999.9,21.4,*,-14.4,*,0.0,I,999.9,0
3,3,89528099999,2003-01-04,-82.7666666,28.5833333,2912.0,"AGO 3, AY",3.3,15,9999.9,0,9999.9,0,687.4,15,999.9,0,50.9,15,68.0,999.9,29.1,*,-16.8,*,0.0,I,999.9,0
4,4,89528099999,2003-01-05,-82.7666666,28.5833333,2912.0,"AGO 3, AY",1.5,16,9999.9,0,9999.9,0,687.9,16,999.9,0,47.2,16,65.9,999.9,24.1,*,-15.9,*,0.0,I,999.9,0
5,5,89528099999,2003-01-06,-82.7666666,28.5833333,2912.0,"AGO 3, AY",1.5,20,9999.9,0,9999.9,0,688.1,20,999.9,0,45.6,20,66.8,999.9,9999.9, ,-15.9,*,0.0,I,999.9,0
6,6,89528099999,2003-01-07,-82.7666666,28.5833333,2912.0,"AGO 3, AY",-1.0,16,9999.9,0,9999.9,0,688.8,16,999.9,0,43.6,16,70.9,999.9,9999.9, ,-14.1,*,0.0,I,999.9,0
7,7,89528099999,2003-01-08,-82.7666666,28.5833333,2912.0,"AGO 3, AY",-4.8,16,9999.9,0,9999.9,0,687.8,16,999.9,0,41.1,16,64.9,999.9,9999.9, ,-14.6,*,0.0,I,999.9,0
8,8,89528099999,2003-01-09,-82.7666666,28.5833333,2912.0,"AGO 3, AY",-4.0,17,9999.9,0,9999.9,0,685.9,17,999.9,0,40.5,17,64.9,999.9,24.4,*,-15.9,*,0.0,I,999.9,0
9,9,89528099999,2003-01-10,-82.7666666,28.5833333,2912.0,"AGO 3, AY",1.8,11,9999.9,0,9999.9,0,685.4,11,999.9,0,47.8,11,84.9,999.9,12.4,*,-14.1,*,0.0,I,999.9,0
10,10,89528099999,2003-01-11,-82.7666666,28.5833333,2912.0,"AGO 3, AY",2.0,14,9999.9,0,9999.9,0,686.1,14,999.9,0,50.5,14,64.9,999.9,19.6,*,-16.2,*,0.0,I,999.9,0
11,11,89528099999,2003-01-12,-82.7666666,28.5833333,2912.0,"AGO 3, AY",1.0,18,9999.9,0,9999.9,0,688.3,18,999.9,0,50.0,18,999.9,999.9,13.8,*,-17.0,*,0.0,I,999.9,0
12,12,89528099999,2003-01-13,-82.7666666,28.5833333,2912.0,"AGO 3, AY",-0.7,17,9999.9,0,9999.9,0,688.2,16,999.9,0,47.9,17,65.9,999.9,28.8,*,-20.6,*,0.0,I,999.9,0
13,13,89528099999,2003-01-14,-82.7666666,28.5833333,2912.0,"AGO 3, AY",-12.4,23,9999.9,0,9999.9,0,684.9,23,999.9,0,36.9,23,36.9,999.9,-8.9,*,-20.0,*,0.0,I,999.9,0
14,14,89528099999,2003-01-15,-82.7666666,28.5833333,2912.0,"AGO 3, AY",0.8,20,9999.9,0,9999.9,0,685.9,20,999.9,0,49.0,20,68.0,999.9,23.5,*,-20.2,*,0.0,I,999.9,0
15,15,89528099999,2003-01-16,-82.7666666,28.5833333,2912.0,"AGO 3, AY",1.3,19,9999.9,0,9999.9,0,691.1,19,999.9,0,49.0,19,70.9,999.9,26.2,*,-20.6,*,0.0,I,999.9,0
16,16,89528099999,2003-01-17,-82.7666666,28.5833333,2912.0,"AGO 3, AY",-14.0,15,9999.9,0,9999.9,0,688.7,15,999.9,0,39.0,15,61.0,999.9,-8.9,*,-20.9,*,0.0,I,999.9,0
17,17,89528099999,2003-01-18,-82.7666666,28.5833333,2912.0,"AGO 3, AY",3.7,14,9999.9,0,9999.9,0,687.4,14,999.9,0,52.9,14,92.9,999.9,25.3,*,-16.1,*,0.0,I,999.9,0
18,18,89528099999,2003-01-19,-82.7666666,28.5833333,2912.0,"AGO 3, AY",-10.6,12,9999.9,0,9999.9,0,691.3,12,999.9,0,46.4,12,84.9,999.9,6.6,*,-17.3,*,0.0,I,999.9,0
19,19,89528099999,2003-01-20,-82.7666666,28.5833333,2912.0,"AGO 3, AY",-13.2,18,9999.9,0,9999.9,0,694.8,18,999.9,0,37.3,18,37.9,999.9,-8.3,*,-19.1,*,0.0,I,999.9,0
20,20,89528099999,2003-01-21,-82.7666666,28.5833333,2912.0,"AGO 3, AY",-14.0,19,9999.9,0,9999.9,0,690.3,19,999.9,0,37.5,19,37.9,999.9,-9.8,*,-19.5,*,0.0,I,999.9,0
21,21,89528099999,2003-01-22,-82.7666666,28.5833333,2912.0,"AGO 3, AY",-16.2,22,9999.9,0,9999.9,0,685.2,22,999.9,0,38.1,22,63.9,999.9,-11.7,*,-19.1,*,0.0,I,999.9,0
22,22,89528099999,2003-01-23,-82.7666666,28.5833333,2912.0,"AGO 3, AY",-15.2,19,9999.9,0,9999.9,0,686.8,19,999.9,0,41.1,19,72.8,999.9,4.8,*,-20.4,*,0.0,I,999.9,0
23,23,89528099999,2003-01-24,-82.7666666,28.5833333,2912.0,"AGO 3, AY",-6.0,18,9999.9,0,9999.9,0,687.7,17,999.9,0,45.6,18,65.9,999.9,22.5,*,-21.5,*,0.0,I,999.9,0
24,24,89528099999,2003-01-25,-82.7666666,28.5833333,2912.0,"AGO 3, AY",-16.2,17,9999.9,0,9999.9,0,684.1,17,999.9,0,38.2,17,61.0,999.9,-11.9,*,-21.3,*,0.0,I,999.9,0
25,25,89528099999,2003-01-26,-82.7666666,28.5833333,2912.0,"AGO 3, AY",-11.7,16,9999.9,0,9999.9,0,681.8,16,999.9,0,42.0,16,55.9,999.9,6.8,*,-21.6,*,0.0,I,999.9,0
26,26,89528099999,2003-01-27,-82.7666666,28.5833333,2912.0,"AGO 3, AY",-6.2,14,9999.9,0,9999.9,0,682.0,14,999.9,0,45.8,14,64.9,999.9,5.5,*,-20.6,*,0.0,I,999.9,0
27,27,89528099999,2003-01-28,-82.7666666,28.5833333,2912.0,"AGO 3, AY",-10.2,16,9999.9,0,9999.9,0,678.8,16,999.9,0,46.8,16,65.9,999.9,15.4,*,-24.2,*,0.0,I,999.9,0
28,28,89528099999,2003-01-29,-82.7666666,28.5833333,2912.0,"AGO 3, AY",-17.8,19,9999.9,0,9999.9,0,676.2,19,999.9,0,39.7,19,62.9,999.9,1.0,*,-25.1,*,0.0,I,999.9,0
29,29,89528099999,2003-01-30,-82.7666666,28.5833333,2912.0,"AGO 3, AY",-18.9,24,9999.9,0,9999.9,0,674.2,24,999.9,0,38.1,24,38.9,999.9,-14.6,*,-22.5,*,0.0,I,999.9,0
30,30,89528099999,2003-01-31,-82.7666666,28.5833333,2912.0,"AGO 3, AY",-18.4,20,9999.9,0,9999.9,0,673.7,20,999.9,0,39.1,20,51.9,999.9,2.8,*,-23.8,*,0.0,I,999.9,0
